"","culmen_length_mm","culmen_depth_mm"
"262",50.5,15.2
"263",49.8,15.9
"264",43.5,15.2
"265",51.5,16.3
"266",46.2,14.1
"267",55.1,16
"268",44.5,15.7
"269",48.8,16.2
"270",47.2,13.7
"271",46.8,14.3
"272",50.4,15.7
"273",45.2,14.8
"274",49.9,16.1
"275",46.5,17.9
"276",50,19.5
"277",51.3,19.2
"278",45.4,18.7
"279",52.7,19.8
"280",45.2,17.8
"281",46.1,18.2
"282",51.3,18.2
"283",46,18.9
"284",51.3,19.9
"285",46.6,17.8
"286",51.7,20.3
"287",47,17.3
"288",52,18.1
"289",45.9,17.1
"290",50.5,19.6
"291",50.3,20
"292",58,17.8
"293",46.4,18.6
"294",49.2,18.2
"295",42.4,17.3
"296",48.5,17.5
"297",43.2,16.6
"298",50.6,19.4
"299",46.7,17.9
"300",52,19
"301",50.5,18.4
"302",49.5,19
"303",46.4,17.8
"304",52.8,20
"305",40.9,16.6
"306",54.2,20.8
"307",42.5,16.7
"308",51,18.8
"309",49.7,18.6
"310",47.5,16.8
"311",47.6,18.3
"312",52,20.7
"313",46.9,16.6
"314",53.5,19.9
"315",49,19.5
"316",46.2,17.5
"317",50.9,19.1
"318",45.5,17
"319",50.9,17.9
"320",50.8,18.5
"321",50.1,17.9
"322",49,19.6
"323",51.5,18.7
"324",49.8,17.3
"325",48.1,16.4
"326",51.4,19
"327",45.7,17.3
"328",50.7,19.7
"329",42.5,17.3
"330",52.2,18.8
"331",45.2,16.6
"332",49.3,19.9
"333",50.2,18.8
"334",45.6,19.4
"335",51.9,19.5
"336",46.8,16.5
"337",45.7,17
"338",55.8,19.8
"339",43.5,18.1
"340",49.6,18.2
"341",50.8,19
"342",50.2,18.7
